HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Karagumruk,Buyuksehyr,3,1,H,3.0,0.0,H,8.0,18.0,4.0,6.0,5.0,11.0,1.0,10.0,0.0,3.0,0.0,0.0
Konyaspor,Alanyaspor,1,1,D,0.0,0.0,D,17.0,10.0,4.0,5.0,9.0,9.0,7.0,5.0,2.0,3.0,0.0,0.0
Goztep,Giresunspor,0,1,A,0.0,0.0,D,16.0,9.0,5.0,5.0,16.0,6.0,8.0,3.0,3.0,6.0,0.0,0.0
Kayserispor,Trabzonspor,1,2,A,1.0,1.0,D,16.0,16.0,4.0,6.0,14.0,10.0,7.0,1.0,3.0,1.0,0.0,0.0
Besiktas,Sivasspor,2,1,H,1.0,0.0,H,10.0,8.0,4.0,2.0,14.0,15.0,3.0,2.0,2.0,1.0,0.0,0.0
Yeni Malatyaspor,Hatayspor,0,2,A,0.0,1.0,A,15.0,15.0,2.0,6.0,9.0,6.0,7.0,5.0,2.0,3.0,0.0,0.0
Fenerbahce,Kasimpasa,2,1,H,2.0,0.0,H,10.0,8.0,5.0,2.0,20.0,12.0,3.0,3.0,5.0,3.0,0.0,0.0
Gaziantep,Altay,4,1,H,0.0,0.0,D,16.0,13.0,8.0,3.0,12.0,13.0,8.0,7.0,2.0,1.0,0.0,0.0
Rizespor,Galatasaray,2,3,A,2.0,1.0,H,12.0,21.0,5.0,8.0,19.0,11.0,6.0,6.0,4.0,4.0,0.0,1.0
Buyuksehyr,Besiktas,3,2,H,1.0,0.0,H,11.0,18.0,8.0,8.0,16.0,10.0,2.0,5.0,2.0,2.0,0.0,0.0
Giresunspor,Rizespor,2,0,H,0.0,0.0,D,16.0,5.0,5.0,3.0,10.0,8.0,7.0,7.0,3.0,0.0,0.0,1.0
Sivasspor,Antalyaspor,2,2,D,2.0,2.0,D,9.0,9.0,2.0,3.0,17.0,16.0,1.0,2.0,2.0,6.0,0.0,0.0
Ad. Demirspor,Yeni Malatyaspor,0,2,A,0.0,1.0,A,25.0,9.0,6.0,6.0,6.0,12.0,7.0,3.0,2.0,2.0,0.0,0.0
Kasimpasa,Goztep,1,2,A,0.0,0.0,D,13.0,13.0,4.0,10.0,14.0,16.0,5.0,4.0,3.0,1.0,0.0,0.0
Altay,Karagumruk,0,1,A,0.0,1.0,A,18.0,4.0,2.0,3.0,24.0,10.0,6.0,2.0,3.0,4.0,0.0,0.0
Galatasaray,Konyaspor,1,0,H,1.0,0.0,H,11.0,16.0,5.0,3.0,15.0,8.0,3.0,6.0,3.0,2.0,0.0,0.0
Trabzonspor,Fenerbahce,3,1,H,1.0,1.0,D,20.0,5.0,7.0,4.0,15.0,13.0,1.0,2.0,2.0,5.0,0.0,1.0
Alanyaspor,Kayserispor,6,3,H,3.0,2.0,H,18.0,13.0,12.0,5.0,8.0,13.0,6.0,5.0,3.0,3.0,0.0,0.0
