HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Dundee,Livingston,1,0,H,0,0,D,10,16,3,3,14,14,5,12,2,3,0,0
St Johnstone,Motherwell,2,2,D,2,0,H,10,11,3,5,11,18,6,7,1,2,0,0
St Mirren,Hibernian,2,2,D,0,1,A,18,9,4,4,9,9,3,1,3,2,0,0
Dundee,St Mirren,4,0,H,2,0,H,11,5,7,0,6,12,7,4,1,1,0,0
Hibernian,Kilmarnock,1,0,H,1,0,H,7,9,5,1,6,14,5,10,2,5,0,0
Motherwell,Hearts,1,2,A,0,1,A,8,14,1,3,13,12,4,10,4,2,0,0
St Johnstone,Ross County,1,0,H,0,0,D,10,8,3,2,11,13,3,4,4,3,0,0
Livingston,Rangers,0,2,A,0,1,A,4,18,1,6,14,7,3,9,1,1,0,0
Celtic,Aberdeen,6,0,H,2,0,H,21,3,10,1,5,8,11,0,0,3,0,0
Celtic,Motherwell,1,1,D,0,0,D,20,6,4,2,8,9,13,2,1,4,0,0
Dundee,Hibernian,1,2,A,0,1,A,19,10,7,3,6,9,7,3,2,1,0,1
Hearts,St Johnstone,1,0,H,0,0,D,18,10,4,3,5,17,6,5,2,2,0,0
Ross County,Kilmarnock,0,0,D,0,0,D,15,13,5,1,10,9,9,5,1,0,0,0
St Mirren,Livingston,1,0,H,1,0,H,15,11,1,1,13,10,7,3,1,0,0,0
Aberdeen,Rangers,1,1,D,1,0,H,5,22,4,10,16,11,0,5,4,1,0,0
Ross County,St Mirren,1,0,H,0,0,D,6,6,2,1,11,14,7,5,0,2,0,0
Kilmarnock,Hearts,0,1,A,0,1,A,17,11,3,1,14,12,7,3,2,1,0,0
Motherwell,Dundee,3,3,D,1,2,A,9,16,4,4,6,9,4,4,3,2,1,0
St Johnstone,Celtic,1,3,A,1,0,H,5,25,3,7,8,7,2,12,2,1,0,0
Hibernian,Aberdeen,2,0,H,1,0,H,11,23,3,5,13,13,6,6,3,2,0,0
Rangers,St Mirren,2,0,H,1,0,H,21,4,6,3,9,8,8,5,1,3,0,0
Ross County,Motherwell,3,0,H,2,0,H,13,14,6,4,14,9,6,3,1,2,1,0
Aberdeen,Kilmarnock,0,1,A,0,0,D,18,8,3,2,11,21,4,5,3,1,0,0
Celtic,Hibernian,4,1,H,2,0,H,26,6,12,3,10,8,11,4,2,2,0,0
St Johnstone,St Mirren,1,0,H,0,0,D,11,13,5,5,9,10,0,7,2,1,0,0
Hearts,Rangers,0,1,A,0,1,A,12,22,5,5,13,11,6,5,3,1,0,0
Aberdeen,Hearts,2,1,H,0,1,A,14,5,6,3,13,20,3,8,3,7,0,0
Livingston,Hibernian,0,1,A,0,1,A,14,4,3,2,11,13,6,0,3,1,0,0
Motherwell,St Johnstone,1,1,D,0,0,D,17,11,8,2,11,11,3,2,0,0,0,0
Rangers,Dundee,3,1,H,3,1,H,20,9,9,3,12,9,5,7,1,3,1,0
St Mirren,Ross County,2,0,H,0,0,D,15,9,6,2,9,12,10,4,2,0,0,0
Kilmarnock,Celtic,2,1,H,0,1,A,13,16,6,7,14,12,5,9,3,1,0,0
Celtic,Hearts,0,2,A,0,2,A,22,5,5,2,12,3,18,3,1,0,0,0
Livingston,Kilmarnock,0,0,D,0,0,D,8,11,1,3,17,11,0,8,2,1,0,0
Ross County,Dundee,0,1,A,0,0,D,10,17,3,3,10,10,2,9,1,2,0,0
St Johnstone,Hibernian,1,0,H,0,0,D,14,3,7,0,10,8,5,5,2,3,0,0
St Mirren,Motherwell,0,0,D,0,0,D,11,8,3,4,11,11,6,4,1,1,0,0
Aberdeen,Livingston,2,1,H,1,1,D,11,11,6,4,8,15,1,3,0,3,0,0
Rangers,St Johnstone,2,0,H,1,0,H,28,2,8,0,7,11,10,2,2,2,0,1
Celtic,Livingston,2,0,H,0,0,D,22,0,7,0,5,4,14,0,0,1,0,0
Hearts,St Mirren,2,0,H,1,0,H,12,11,6,4,16,9,8,6,2,3,0,0
Kilmarnock,St Johnstone,2,1,H,2,0,H,14,9,5,4,12,8,5,1,0,1,0,0
Motherwell,Rangers,0,2,A,0,2,A,7,14,0,6,16,10,3,5,3,1,0,0
Dundee,Celtic,0,3,A,0,0,D,5,38,1,7,3,9,1,23,1,1,0,0
Livingston,St Johnstone,0,0,D,0,0,D,14,4,3,2,12,12,6,3,2,2,0,0
St Mirren,Kilmarnock,0,1,A,0,1,A,11,12,6,3,7,10,4,4,3,2,0,0
Hibernian,Hearts,0,1,A,0,0,D,16,10,3,3,11,10,6,5,2,3,0,0
Celtic,Rangers,2,1,H,1,0,H,12,14,5,3,18,14,4,2,7,3,0,1
Aberdeen,St Mirren,0,3,A,0,1,A,18,10,3,5,9,11,13,2,1,0,0,0
Hearts,Ross County,2,2,D,0,0,D,20,14,7,2,14,14,9,5,2,2,0,0
Kilmarnock,Dundee,2,2,D,0,1,A,11,7,4,2,12,10,7,8,2,1,0,0
Motherwell,Livingston,3,1,H,3,1,H,7,10,4,1,12,14,4,3,4,3,0,0
Hibernian,Motherwell,2,2,D,1,1,D,12,9,3,4,10,10,7,3,2,2,0,0
Livingston,Hearts,1,2,A,0,0,D,10,10,3,5,12,16,2,3,1,3,0,0
Rangers,Kilmarnock,3,1,H,2,0,H,18,6,6,2,10,13,7,5,1,3,0,0
Ross County,Aberdeen,0,3,A,0,2,A,5,16,3,7,14,9,4,5,4,3,1,0
St Mirren,Celtic,0,3,A,0,2,A,3,24,0,11,9,8,1,12,0,0,1,0
Hearts,Dundee,3,2,H,0,2,A,15,8,6,4,10,12,7,1,1,6,0,0
Hibernian,Rangers,0,3,A,0,2,A,9,22,3,8,6,7,4,10,1,0,0,0
St Johnstone,Aberdeen,1,1,D,0,0,D,14,8,5,4,20,8,1,4,4,1,0,0
St Mirren,Rangers,0,1,A,0,1,A,7,10,2,2,10,9,4,3,0,2,0,0
Celtic,Ross County,1,0,H,1,0,H,17,7,7,1,12,14,7,7,1,1,0,0
Hearts,Aberdeen,2,0,H,0,0,D,15,16,5,1,10,14,7,7,1,2,0,0
Kilmarnock,Hibernian,2,2,D,1,0,H,12,15,1,5,15,11,7,3,2,1,1,0
Livingston,Dundee,1,4,A,0,1,A,15,7,3,5,7,14,5,3,0,1,0,1
St Johnstone,Motherwell,1,1,D,1,1,D,7,11,4,2,13,16,0,6,2,3,0,0
Aberdeen,Dundee,1,1,D,1,0,H,10,9,4,3,13,17,0,3,2,3,0,0
Livingston,Ross County,2,2,D,1,1,D,13,10,4,4,10,16,5,3,1,2,0,0
Aberdeen,Celtic,1,1,D,0,0,D,7,22,3,4,6,9,1,12,3,1,0,0
Dundee,Hearts,2,3,A,1,0,H,14,18,8,6,7,6,8,5,3,1,0,0
Hibernian,St Mirren,0,3,A,0,3,A,6,13,1,5,11,17,6,7,3,3,0,0
Motherwell,Kilmarnock,1,1,D,1,1,D,11,3,4,1,11,15,6,5,2,5,0,0
Rangers,Livingston,3,0,H,2,0,H,32,0,8,0,9,6,14,0,0,0,0,0
Ross County,St Johnstone,0,1,A,0,1,A,12,8,5,2,11,7,8,4,3,1,0,0
Motherwell,Ross County,5,0,H,3,0,H,17,12,8,2,10,11,3,6,2,2,0,0
Rangers,Aberdeen,2,1,H,1,1,D,23,9,7,4,7,10,13,2,0,2,1,0
Kilmarnock,Livingston,1,0,H,0,0,D,12,11,6,4,8,9,9,2,0,2,0,0
St Johnstone,Hearts,0,1,A,0,0,D,10,8,2,4,9,10,2,4,4,1,0,0
St Mirren,Dundee,2,0,H,0,0,D,19,5,6,0,9,9,6,5,0,1,1,0
Hibernian,Celtic,1,2,A,0,1,A,12,8,4,3,14,18,4,5,4,2,0,0
Dundee,St Johnstone,2,1,H,0,1,A,26,15,6,3,6,15,13,7,4,3,0,0
Aberdeen,Motherwell,3,3,D,2,3,A,14,11,7,7,6,14,7,3,2,4,0,0
Rangers,Ross County,3,1,H,2,1,H,43,5,23,1,10,12,20,3,1,3,0,0
Aberdeen,Hibernian,2,2,D,1,1,D,22,7,12,6,13,14,4,2,1,3,0,0
Celtic,Kilmarnock,1,1,D,1,0,H,15,13,5,6,12,8,8,4,0,3,0,0
Dundee,Ross County,2,0,H,1,0,H,14,17,4,3,9,15,6,2,2,2,0,0
Hearts,Motherwell,2,0,H,0,0,D,22,10,7,3,9,14,9,7,1,2,0,0
Livingston,St Mirren,1,0,H,1,0,H,6,21,3,3,12,11,4,9,1,1,0,0
St Johnstone,Rangers,0,3,A,0,1,A,4,15,0,5,24,6,3,1,3,0,0,0
Hibernian,Dundee,2,1,H,1,0,H,16,7,9,1,11,11,10,2,0,2,0,0
Kilmarnock,Aberdeen,2,0,H,1,0,H,20,9,9,1,17,15,5,3,1,0,0,0
Rangers,Hearts,5,0,H,3,0,H,17,11,12,5,17,9,4,2,2,2,0,0
Ross County,Livingston,3,2,H,2,0,H,12,18,6,6,11,15,6,4,2,1,0,0
St Mirren,St Johnstone,2,0,H,1,0,H,15,5,5,2,10,12,5,6,1,2,0,0
Motherwell,Celtic,1,3,A,1,0,H,10,18,3,7,7,10,4,4,1,2,0,0
Ross County,St Mirren,1,1,D,1,0,H,6,9,1,3,13,6,3,4,2,2,0,0
Aberdeen,St Johnstone,0,2,A,0,1,A,17,8,5,4,7,11,11,7,0,4,0,0
Celtic,Dundee,7,1,H,6,0,H,17,9,10,2,7,5,5,5,2,1,0,1
Hearts,Hibernian,1,1,D,1,1,D,14,21,2,5,8,9,4,9,2,1,0,0
Kilmarnock,Rangers,1,2,A,1,0,H,10,14,3,5,8,16,8,6,3,2,0,0
Livingston,Motherwell,1,3,A,1,0,H,14,15,4,5,12,8,1,4,1,1,0,0
Dundee,Kilmarnock,2,2,D,1,1,D,14,9,5,7,11,10,4,6,3,4,0,1
Hibernian,Ross County,2,0,H,0,0,D,14,4,6,2,9,14,8,2,0,1,0,0
