HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Verona,Bologna,2,1,H,1,1,D,14,8,6,2,21,9,7,2,2,4,0,0
Genoa,Udinese,0,0,D,0,0,D,10,2,3,0,27,17,10,4,4,4,1,0
Inter,Venezia,2,1,H,1,1,D,24,3,12,3,13,9,6,0,3,4,0,0
Lazio,Atalanta,0,0,D,0,0,D,9,6,1,2,10,17,4,1,0,3,0,0
Cagliari,Fiorentina,1,1,D,0,0,D,12,16,3,6,21,16,6,4,3,3,0,1
Napoli,Salernitana,4,1,H,2,1,H,26,1,14,1,9,14,10,0,0,4,0,1
Spezia,Sampdoria,1,0,H,0,0,D,7,8,2,0,24,12,2,4,2,4,0,1
Torino,Sassuolo,1,1,D,1,0,H,21,6,6,1,21,15,4,3,3,3,0,0
Empoli,Roma,2,4,A,0,4,A,16,16,7,8,13,14,2,3,2,2,0,0
Milan,Juventus,0,0,D,0,0,D,14,8,4,0,16,19,4,1,2,2,0,0
Roma,Genoa,0,0,D,0,0,D,23,10,3,3,8,23,6,4,3,2,1,1
Inter,Milan,1,2,A,1,0,H,11,10,5,3,20,14,6,4,2,4,0,1
Fiorentina,Lazio,0,3,A,0,0,D,9,12,3,7,13,15,4,3,3,5,1,0
Atalanta,Cagliari,1,2,A,0,0,D,10,7,3,4,13,14,3,1,1,5,1,0
Bologna,Empoli,0,0,D,0,0,D,12,15,2,4,9,16,3,5,2,4,0,0
Sampdoria,Sassuolo,4,0,H,2,0,H,11,26,7,9,15,16,3,9,2,2,0,0
Venezia,Napoli,0,2,A,0,0,D,7,16,3,6,12,11,2,6,2,2,1,0
Udinese,Torino,2,0,H,0,0,D,11,5,3,1,12,21,8,3,3,5,0,1
Juventus,Verona,2,0,H,1,0,H,11,13,8,1,11,11,6,5,1,1,0,0
Salernitana,Spezia,2,2,D,2,2,D,9,13,5,2,12,19,5,6,3,3,0,0
Lazio,Bologna,3,0,H,1,0,H,12,11,6,3,13,16,5,3,2,2,0,0
Napoli,Inter,1,1,D,1,0,H,13,8,4,2,8,13,4,2,1,1,0,0
Torino,Venezia,1,2,A,1,1,D,14,5,2,2,14,12,8,4,2,3,0,1
Milan,Sampdoria,1,0,H,1,0,H,15,4,7,1,13,11,4,0,3,1,0,0
Empoli,Cagliari,1,1,D,1,0,H,13,17,4,5,14,13,6,4,1,2,0,0
Genoa,Salernitana,1,1,D,1,1,D,15,12,5,4,17,10,5,4,3,2,0,0
Verona,Udinese,4,0,H,2,0,H,6,21,5,7,18,7,2,7,3,1,0,0
Sassuolo,Roma,2,2,D,0,1,A,12,12,3,7,13,13,4,3,4,2,1,0
Atalanta,Juventus,1,1,D,0,0,D,21,15,3,6,13,9,8,8,2,3,0,0
Spezia,Fiorentina,1,2,A,0,1,A,9,21,1,4,17,10,4,8,2,1,0,0
Juventus,Torino,1,1,D,1,0,H,11,10,3,3,16,19,7,9,1,2,0,0
Sampdoria,Empoli,2,0,H,2,0,H,8,10,3,2,15,12,3,6,4,2,0,0
Roma,Verona,2,2,D,0,2,A,7,5,3,3,18,14,4,2,3,2,0,0
Salernitana,Milan,2,2,D,1,1,D,9,14,5,5,14,12,4,7,2,4,0,0
Fiorentina,Atalanta,1,0,H,0,0,D,6,7,3,1,17,20,2,1,2,5,0,0
Venezia,Genoa,1,1,D,1,1,D,15,12,4,3,14,15,6,5,2,2,0,0
Inter,Sassuolo,0,2,A,0,2,A,29,13,8,5,12,12,8,3,1,2,0,0
Udinese,Lazio,1,1,D,1,1,D,12,10,2,2,22,9,2,12,3,2,0,0
Cagliari,Napoli,1,1,D,0,0,D,13,7,5,3,17,22,3,6,1,2,0,0
Bologna,Spezia,2,1,H,1,1,D,19,6,7,2,7,13,11,0,1,1,0,0
Milan,Udinese,1,1,D,1,0,H,9,11,3,6,13,17,5,4,2,4,0,0
Genoa,Inter,0,0,D,0,0,D,7,21,1,4,11,9,0,14,2,1,0,0
Salernitana,Bologna,1,1,D,0,1,A,15,8,4,3,13,25,6,1,2,3,0,0
Empoli,Juventus,2,3,A,1,2,A,11,12,2,5,16,8,7,3,2,0,0,0
Sassuolo,Fiorentina,2,1,H,1,0,H,16,15,6,6,12,12,6,10,1,1,0,1
Torino,Cagliari,1,2,A,0,1,A,15,11,6,5,16,20,4,3,2,4,0,0
Verona,Venezia,3,1,H,0,0,D,19,9,11,4,13,10,5,5,0,1,0,0
Spezia,Roma,0,1,A,0,0,D,9,31,3,10,13,11,1,8,5,3,1,0
Lazio,Napoli,1,2,A,0,0,D,13,15,8,7,13,14,1,5,3,2,0,0
Atalanta,Sampdoria,4,0,H,2,0,H,19,6,9,1,16,9,8,1,1,2,0,0
Inter,Salernitana,5,0,H,2,0,H,23,11,12,3,11,7,10,3,2,1,0,0
Udinese,Sampdoria,2,1,H,2,1,H,19,8,5,4,20,14,11,4,5,2,0,0
Roma,Atalanta,1,0,H,1,0,H,13,7,4,4,18,14,6,3,6,4,1,1
Cagliari,Lazio,0,3,A,0,2,A,16,13,3,5,10,13,7,6,3,2,0,1
Genoa,Empoli,0,0,D,0,0,D,18,8,7,2,15,19,7,2,4,3,0,0
Bologna,Torino,0,0,D,0,0,D,6,13,1,2,23,16,5,7,3,3,0,0
Fiorentina,Verona,1,1,D,1,1,D,8,2,2,2,15,15,4,2,0,4,0,0
Venezia,Sassuolo,1,4,A,1,3,A,16,16,5,10,18,14,8,6,4,1,0,0
Juventus,Spezia,1,0,H,1,0,H,10,9,3,4,14,11,4,4,3,2,0,0
Napoli,Milan,0,1,A,0,0,D,9,12,2,7,7,15,6,7,4,4,0,0
Salernitana,Sassuolo,2,2,D,1,2,A,15,20,5,7,13,15,5,5,2,4,0,1
Spezia,Cagliari,2,0,H,0,0,D,12,11,7,1,10,17,8,7,1,4,0,0
Sampdoria,Juventus,1,3,A,0,2,A,16,6,5,3,7,15,9,0,0,2,0,0
Milan,Empoli,1,0,H,1,0,H,15,5,5,2,6,12,5,4,1,0,0,0
Fiorentina,Bologna,1,0,H,0,0,D,14,4,5,0,9,16,9,1,1,5,0,1
Verona,Napoli,1,2,A,0,1,A,8,13,1,4,19,9,3,5,6,0,2,0
Atalanta,Genoa,0,0,D,0,0,D,11,13,2,3,13,17,4,3,2,0,0,0
Udinese,Roma,1,1,D,1,0,H,11,10,5,2,16,12,6,4,3,2,0,0
Torino,Inter,1,1,D,1,0,H,13,15,4,7,15,17,3,4,1,5,0,0
Lazio,Venezia,1,0,H,0,0,D,10,7,1,2,11,13,8,4,1,1,0,0
