HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Giannina,Volos NFC,1,1,D,0,0,D,12,11,3,2,23,13,4,7,5,2,0,0
Olympiakos,PAOK,2,4,A,0,1,A,11,10,6,5,14,11,7,2,3,2,0,0
Aris,Atromitos,1,3,A,1,1,D,16,8,5,6,14,18,9,2,3,4,0,0
Panserraikos,OFI Crete,2,1,H,1,1,D,9,15,4,3,18,13,4,4,3,4,0,0
OFI Crete,Giannina,1,1,D,1,0,H,13,18,5,7,17,14,2,4,2,2,0,0
Atromitos,Panserraikos,1,1,D,0,1,A,12,7,3,2,21,20,5,1,4,4,0,0
Volos NFC,Aris,0,2,A,0,0,D,14,7,5,3,10,18,5,7,4,2,0,0
PAOK,Panetolikos,2,1,H,2,1,H,9,8,2,2,7,14,4,1,2,3,0,0
AEK,Lamia,3,0,H,2,0,H,12,5,5,1,15,15,4,4,3,3,0,0
Asteras Tripolis,Olympiakos,0,2,A,0,0,D,5,13,2,4,7,16,2,5,3,0,0,0
Kifisia,Panathinaikos,0,1,A,0,0,D,4,14,2,6,13,14,0,9,1,3,0,0
OFI Crete,Volos NFC,1,1,D,0,1,A,16,10,6,3,10,17,6,2,3,5,0,1
Olympiakos,Panetolikos,3,1,H,2,1,H,9,8,4,4,20,15,3,2,3,1,0,0
PAOK,Panserraikos,5,0,H,2,0,H,16,7,11,2,3,7,8,3,0,0,0,0
Kifisia,Asteras Tripolis,1,3,A,0,2,A,17,5,6,4,17,15,7,2,2,2,0,0
Giannina,AEK,0,1,A,0,1,A,8,20,4,7,12,13,3,6,3,1,0,0
Lamia,Atromitos,3,3,D,2,2,D,12,11,7,6,11,18,3,8,4,3,0,0
Aris,Panathinaikos,2,0,H,1,0,H,8,14,4,8,19,11,1,9,3,1,0,0
Volos NFC,Panserraikos,1,0,H,0,0,D,11,11,5,4,21,16,3,5,2,4,0,0
Panetolikos,Kifisia,3,0,H,1,0,H,14,8,7,4,17,17,5,6,2,5,0,0
Asteras Tripolis,Panserraikos,1,0,H,0,0,D,9,16,2,4,17,12,5,3,4,4,0,0
Volos NFC,Olympiakos,2,2,D,1,1,D,10,11,4,3,16,8,2,6,7,3,1,1
Atromitos,Giannina,1,1,D,0,0,D,12,9,4,3,16,7,2,2,4,2,0,0
Panathinaikos,OFI Crete,4,0,H,1,0,H,16,5,9,3,18,21,2,3,1,6,0,0
PAOK,Lamia,3,0,H,2,0,H,17,11,8,6,7,9,5,5,0,1,0,0
AEK,Aris,1,0,H,0,0,D,17,7,4,1,15,9,9,2,1,1,0,0
Kifisia,Giannina,4,2,H,3,2,H,12,9,10,5,13,19,3,7,3,5,0,1
Aris,OFI Crete,1,0,H,1,0,H,17,6,7,1,12,18,6,5,1,1,0,0
Asteras Tripolis,PAOK,1,4,A,0,1,A,10,13,3,8,16,17,7,4,2,1,0,0
Lamia,Volos NFC,1,2,A,0,0,D,10,8,4,4,12,24,6,2,3,4,0,0
Atromitos,Panathinaikos,3,2,H,1,1,D,9,12,4,4,14,16,1,7,3,2,0,0
Panetolikos,AEK,2,2,D,1,2,A,6,19,3,7,17,10,2,9,4,1,0,0
Panserraikos,Olympiakos,0,1,A,0,0,D,5,13,2,3,7,16,3,5,1,4,0,0
Aris,Lamia,2,2,D,0,0,D,22,8,11,3,17,14,10,3,1,4,0,0
Volos NFC,Panathinaikos,0,3,A,0,0,D,3,14,0,6,14,16,3,4,1,2,0,0
Giannina,Panetolikos,0,0,D,0,0,D,11,4,3,1,16,17,7,6,1,4,0,1
Panserraikos,AEK,2,2,D,1,2,A,10,14,7,6,18,14,5,3,5,4,1,0
OFI Crete,Asteras Tripolis,0,2,A,0,1,A,19,14,5,6,15,7,9,4,3,1,0,0
Kifisia,PAOK,0,6,A,0,3,A,7,14,2,10,15,15,1,4,1,0,0,0
Atromitos,Olympiakos,0,0,D,0,0,D,3,18,1,4,13,11,0,9,3,1,0,0
Asteras Tripolis,Aris,3,2,H,1,2,A,10,8,3,3,18,14,5,1,1,2,0,0
Lamia,Olympiakos,1,0,H,1,0,H,14,13,7,5,14,12,7,5,4,1,0,0
AEK,Volos NFC,3,0,H,1,0,H,10,4,4,2,11,21,9,3,2,5,0,0
Panathinaikos,Giannina,2,0,H,1,0,H,13,7,7,3,15,12,8,3,1,1,0,0
PAOK,OFI Crete,4,0,H,2,0,H,15,14,10,7,11,14,6,2,1,3,0,0
Panetolikos,Panserraikos,3,2,H,1,1,D,18,9,6,3,20,15,4,3,2,2,0,0
Atromitos,Kifisia,3,0,H,1,0,H,12,11,7,2,14,11,1,10,2,4,0,0
Panserraikos,Kifisia,1,1,D,0,1,A,8,13,1,5,9,19,3,3,2,4,0,0
Volos NFC,Atromitos,1,2,A,0,1,A,7,14,4,6,16,18,2,8,4,3,0,0
Panathinaikos,Panetolikos,2,1,H,0,0,D,12,8,5,5,18,11,4,3,2,2,0,0
Giannina,Asteras Tripolis,2,1,H,2,1,H,14,9,5,3,12,17,7,3,2,0,0,0
Aris,PAOK,2,1,H,0,0,D,13,9,4,2,21,11,4,5,2,4,0,0
Olympiakos,AEK,1,2,A,1,2,A,7,10,3,3,9,16,5,9,3,3,0,0
OFI Crete,Lamia,1,1,D,1,1,D,18,4,7,3,22,20,7,1,4,3,0,0
Atromitos,OFI Crete,1,1,D,0,0,D,10,12,2,4,8,20,5,7,2,4,0,0
Lamia,Panserraikos,0,2,A,0,1,A,9,7,3,4,14,20,2,1,2,2,0,0
Panetolikos,Aris,0,4,A,0,1,A,13,15,4,7,15,18,4,6,3,1,0,0
Kifisia,Olympiakos,2,3,A,1,2,A,6,13,4,9,13,10,2,4,6,2,1,1
Asteras Tripolis,Volos NFC,1,0,H,0,0,D,10,11,2,2,18,16,6,4,2,1,0,0
AEK,Panathinaikos,2,2,D,1,1,D,15,8,5,2,17,11,7,2,3,2,0,0
PAOK,Giannina,4,0,H,1,0,H,19,4,9,0,11,10,9,2,0,0,0,0
Lamia,Kifisia,4,1,H,2,1,H,11,9,6,3,12,21,6,8,1,1,0,0
Giannina,Panserraikos,0,2,A,0,2,A,10,11,3,6,11,13,9,5,4,3,0,0
OFI Crete,Panetolikos,1,0,H,1,0,H,4,7,1,2,19,14,1,1,2,4,0,0
Volos NFC,PAOK,1,5,A,0,2,A,11,14,3,7,22,11,1,5,2,1,0,0
Atromitos,AEK,0,5,A,0,3,A,9,16,3,9,21,20,7,7,0,2,0,0
Panathinaikos,Asteras Tripolis,2,0,H,0,0,D,17,9,7,2,11,9,9,3,1,6,0,1
Aris,Olympiakos,1,2,A,0,2,A,3,11,1,3,12,22,1,1,2,2,0,0
Panetolikos,Lamia,1,2,A,0,1,A,14,13,2,5,15,14,4,5,2,5,0,0
Panserraikos,Volos NFC,2,2,D,0,1,A,13,5,8,4,14,28,2,2,4,6,0,0
Kifisia,Aris,0,1,A,0,1,A,14,6,5,4,13,11,8,3,5,6,0,0
AEK,OFI Crete,3,0,H,1,0,H,17,9,8,4,21,7,13,4,2,1,0,0
Asteras Tripolis,Atromitos,3,1,H,1,0,H,9,10,6,2,15,8,5,3,1,0,0,0
Olympiakos,Giannina,3,1,H,0,0,D,16,7,8,2,15,6,8,3,1,4,0,0
PAOK,Panathinaikos,2,1,H,1,0,H,9,10,4,5,9,15,3,6,4,2,0,0
Volos NFC,Panetolikos,1,1,D,1,1,D,9,8,6,3,23,20,5,5,2,4,0,0
Panserraikos,Aris,1,1,D,0,0,D,11,9,7,5,19,14,4,0,5,2,0,0
OFI Crete,Kifisia,1,2,A,0,1,A,9,11,3,4,21,11,3,6,3,4,0,0
AEK,Asteras Tripolis,4,2,H,3,1,H,18,7,7,2,10,17,6,5,0,3,0,0
Giannina,Lamia,1,4,A,1,2,A,15,12,5,8,12,13,11,4,5,3,0,0
Atromitos,PAOK,0,2,A,0,0,D,0,15,0,4,15,10,2,8,3,3,0,0
Panathinaikos,Olympiakos,2,0,H,1,0,H,11,11,7,4,10,13,3,7,1,3,0,0
Olympiakos,OFI Crete,4,0,H,3,0,H,19,6,8,0,15,14,5,2,1,2,0,0
Giannina,Aris,0,0,D,0,0,D,10,6,3,2,19,20,2,4,4,2,0,0
Panetolikos,Atromitos,1,0,H,1,0,H,8,14,5,4,13,16,5,10,4,3,1,0
Kifisia,Volos NFC,0,0,D,0,0,D,13,5,5,3,22,21,11,5,2,5,0,1
Panserraikos,Panathinaikos,0,3,A,0,2,A,9,11,3,7,15,22,3,3,4,2,0,0
Lamia,Asteras Tripolis,2,1,H,0,1,A,11,13,6,6,14,23,4,3,2,4,0,1
PAOK,AEK,1,1,D,0,0,D,10,9,6,5,17,17,5,4,2,3,0,0
Atromitos,Aris,0,2,A,0,1,A,10,9,2,4,11,17,0,3,4,4,0,0
Panathinaikos,Lamia,2,2,D,1,1,D,27,4,7,2,20,9,12,2,1,3,0,1
Volos NFC,Giannina,1,2,A,0,1,A,10,13,4,6,19,18,4,7,5,3,0,0
AEK,Kifisia,3,0,H,2,0,H,24,2,10,0,16,8,10,0,2,3,0,1
PAOK,Olympiakos,1,4,A,1,1,D,13,10,4,6,10,16,3,4,2,6,0,0
OFI Crete,Panserraikos,4,0,H,3,0,H,11,12,5,3,18,13,3,4,4,2,0,0
Asteras Tripolis,Panetolikos,2,2,D,1,1,D,20,11,6,8,14,16,6,3,1,4,0,0
Lamia,AEK,1,3,A,0,2,A,4,14,4,7,11,16,3,4,2,1,0,0
Panserraikos,Atromitos,0,0,D,0,0,D,12,2,2,1,17,24,3,4,3,4,0,0
Giannina,OFI Crete,2,2,D,2,0,H,7,10,4,4,16,12,6,2,4,3,0,0
Panetolikos,PAOK,1,3,A,1,0,H,6,18,4,5,12,14,2,5,2,0,0,0
Olympiakos,Asteras Tripolis,2,1,H,0,1,A,25,7,11,2,8,13,11,1,0,2,0,0
Aris,Volos NFC,2,0,H,1,0,H,18,2,8,2,7,19,6,1,2,6,0,0
Panathinaikos,Kifisia,1,1,D,1,0,H,17,14,4,7,13,16,7,11,2,3,1,0
Asteras Tripolis,Kifisia,3,3,D,3,2,H,18,12,10,8,14,15,8,5,2,2,0,0
Volos NFC,OFI Crete,3,1,H,1,1,D,5,8,3,2,24,24,2,7,3,5,0,0
Atromitos,Lamia,3,1,H,1,1,D,9,5,5,4,13,10,3,3,4,3,1,0
Panetolikos,Olympiakos,1,2,A,1,0,H,3,12,2,4,8,19,1,9,1,3,0,0
AEK,Giannina,4,2,H,1,2,A,18,6,6,2,3,18,10,2,0,5,0,0
Panserraikos,PAOK,0,2,A,0,1,A,9,14,3,5,12,12,1,6,3,1,2,0
Panathinaikos,Aris,2,0,H,1,0,H,9,8,4,2,18,13,3,5,2,1,0,0
Aris,AEK,3,3,D,1,1,D,4,13,4,9,12,19,0,8,3,3,0,0
Giannina,Atromitos,1,1,D,1,0,H,12,8,4,4,19,16,8,2,1,1,0,1
Kifisia,Panetolikos,2,2,D,1,0,H,14,11,8,4,20,18,5,4,3,6,0,0
Lamia,PAOK,0,2,A,0,0,D,4,17,2,8,13,12,1,8,2,2,0,0
OFI Crete,Panathinaikos,2,2,D,1,1,D,8,13,4,6,15,17,1,4,6,3,0,0
Olympiakos,Volos NFC,3,0,H,2,0,H,28,4,15,0,21,7,9,0,3,2,0,1
Panserraikos,Asteras Tripolis,2,1,H,1,1,D,7,4,6,1,19,9,5,5,5,4,0,1
Lamia,AEK,0,4,A,0,1,A,2,20,0,7,14,13,1,12,4,1,0,0
Olympiakos,Panathinaikos,1,3,A,1,2,A,13,11,4,5,11,10,8,5,5,3,0,0
PAOK,Aris,0,1,A,0,1,A,14,6,4,3,13,12,7,1,2,3,0,0
