HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Ein Frankfurt,Heidenheim,2,0,H,1,0,H,12,7,6,2,14,10,3,6,2,3,0,0
Dortmund,Werder Bremen,1,0,H,0,0,D,22,6,5,1,5,10,10,4,1,5,0,0
Darmstadt,RB Leipzig,1,3,A,1,2,A,16,10,3,7,16,12,6,0,6,3,0,0
Freiburg,Bochum,2,1,H,2,1,H,15,13,5,5,11,16,5,2,3,4,0,0
Hoffenheim,Ein Frankfurt,1,3,A,1,3,A,14,13,5,5,7,7,6,3,3,0,0,0
Union Berlin,Stuttgart,0,3,A,0,1,A,10,10,2,5,12,12,4,2,2,1,0,0
Wolfsburg,Leverkusen,1,2,A,1,1,D,18,13,7,6,15,14,4,3,3,5,0,0
Mainz,Bayern Munich,1,3,A,1,2,A,14,12,3,5,12,10,2,7,3,2,0,0
FC Koln,M'gladbach,3,1,H,1,0,H,21,5,8,2,13,10,8,3,0,2,0,1
Heidenheim,Augsburg,2,5,A,2,3,A,16,9,5,6,11,11,6,5,3,2,0,0
Bochum,Mainz,2,2,D,1,0,H,10,10,4,4,14,21,5,4,3,3,0,0
Augsburg,Wolfsburg,3,2,H,1,2,A,9,13,5,6,19,14,5,5,6,4,1,0
Bayern Munich,Darmstadt,8,0,H,0,0,D,28,10,16,4,15,13,7,1,1,2,1,2
M'gladbach,Heidenheim,2,1,H,1,1,D,11,8,6,3,5,18,6,4,0,3,0,0
Stuttgart,Hoffenheim,2,3,A,0,2,A,23,7,10,5,13,11,6,0,2,1,0,0
Werder Bremen,Union Berlin,2,0,H,1,0,H,9,7,3,2,12,14,3,3,1,4,0,1
RB Leipzig,FC Koln,6,0,H,4,0,H,24,6,13,1,8,13,11,1,2,4,0,1
Ein Frankfurt,Dortmund,3,3,D,2,1,H,11,14,7,4,11,10,0,4,3,2,0,0
Leverkusen,Freiburg,2,1,H,1,0,H,19,10,4,4,9,10,11,4,0,2,0,0
Darmstadt,Bochum,1,2,A,1,1,D,15,9,4,4,7,16,11,2,2,5,1,0
FC Koln,Augsburg,1,1,D,1,1,D,28,18,12,3,10,10,10,2,1,4,0,0
Freiburg,M'gladbach,3,3,D,1,3,A,15,10,8,5,7,10,8,2,2,2,0,0
Hoffenheim,Leverkusen,2,3,A,0,2,A,12,10,7,4,6,10,4,3,3,2,0,0
Mainz,RB Leipzig,2,0,H,0,0,D,10,10,3,2,13,9,2,7,3,1,0,0
Union Berlin,Ein Frankfurt,0,3,A,0,2,A,10,4,3,3,13,8,9,1,0,1,0,0
Dortmund,Bayern Munich,0,4,A,0,2,A,15,14,1,8,14,6,3,2,3,2,0,0
Wolfsburg,Werder Bremen,2,2,D,1,1,D,15,13,5,4,14,17,5,2,4,1,1,0
Heidenheim,Stuttgart,2,0,H,0,0,D,19,14,2,2,7,13,9,6,2,2,0,0
M'gladbach,Wolfsburg,4,0,H,2,0,H,16,12,8,4,7,12,8,5,1,3,0,0
Augsburg,Hoffenheim,1,1,D,0,1,A,11,12,6,6,9,11,3,5,1,2,0,0
Bayern Munich,Heidenheim,4,2,H,2,0,H,18,7,8,2,8,8,7,2,1,0,0,0
Darmstadt,Mainz,0,0,D,0,0,D,9,9,3,0,20,15,0,5,3,3,0,0
Stuttgart,Dortmund,2,1,H,1,1,D,22,5,10,1,13,16,6,1,2,3,0,0
Bochum,FC Koln,1,1,D,1,0,H,25,10,9,6,14,19,3,3,4,1,0,0
Leverkusen,Union Berlin,4,0,H,1,0,H,19,2,10,2,8,5,10,1,0,1,0,0
Werder Bremen,Ein Frankfurt,2,2,D,1,0,H,14,14,5,3,3,10,3,7,1,3,0,0
RB Leipzig,Freiburg,3,1,H,1,1,D,15,9,6,3,10,12,7,3,2,0,0,0
FC Koln,Bayern Munich,0,1,A,0,1,A,6,19,2,5,6,4,3,12,0,1,0,0
Dortmund,M'gladbach,4,2,H,3,2,H,20,10,13,3,11,11,5,4,1,2,0,0
Freiburg,Darmstadt,1,1,D,1,1,D,16,7,3,1,15,15,11,2,2,0,0,0
Union Berlin,Augsburg,1,1,D,0,1,A,16,11,6,2,10,15,3,4,2,2,0,0
Werder Bremen,Leverkusen,0,3,A,0,2,A,2,13,1,4,15,4,1,6,3,1,0,0
Wolfsburg,RB Leipzig,2,1,H,1,0,H,10,26,4,10,18,11,1,12,4,2,0,0
Ein Frankfurt,Stuttgart,1,2,A,1,2,A,14,11,1,5,14,8,4,2,0,1,0,0
Heidenheim,Bochum,0,0,D,0,0,D,9,9,3,2,14,7,6,5,4,3,0,0
Hoffenheim,Mainz,1,1,D,0,1,A,15,15,6,6,9,14,4,5,4,4,0,0
Darmstadt,FC Koln,0,1,A,0,0,D,11,11,1,6,12,12,1,6,1,3,0,0
Bochum,Wolfsburg,3,1,H,2,1,H,19,15,9,6,14,13,6,6,6,2,0,0
M'gladbach,Hoffenheim,2,1,H,0,0,D,9,17,3,5,12,14,6,3,2,2,0,0
RB Leipzig,Heidenheim,2,1,H,2,1,H,23,7,8,1,13,16,5,3,2,2,0,0
Stuttgart,Werder Bremen,2,0,H,1,0,H,17,11,6,3,7,9,6,7,1,0,0,0
Mainz,Freiburg,0,1,A,0,0,D,19,13,6,5,16,11,14,3,1,1,0,0
Leverkusen,Dortmund,1,1,D,0,1,A,22,6,6,2,12,12,16,1,3,2,0,0
Augsburg,Ein Frankfurt,2,1,H,1,0,H,9,12,4,6,9,10,2,4,1,1,0,0
Hoffenheim,Bochum,3,1,H,2,0,H,18,22,7,5,18,11,4,5,3,2,0,0
Ein Frankfurt,Bayern Munich,5,1,H,3,1,H,14,17,6,6,8,7,1,9,1,2,0,0
Heidenheim,Darmstadt,3,2,H,1,0,H,16,20,7,7,17,13,8,3,2,2,0,0
Union Berlin,M'gladbach,3,1,H,1,0,H,16,13,6,4,9,8,6,7,1,3,0,0
Werder Bremen,Augsburg,2,0,H,1,0,H,12,11,5,1,13,9,5,2,1,2,0,0
Wolfsburg,Freiburg,0,1,A,0,0,D,10,4,3,1,11,16,5,3,1,4,0,0
Dortmund,RB Leipzig,2,3,A,1,1,D,18,24,6,8,6,11,6,6,1,3,1,0
Stuttgart,Leverkusen,1,1,D,1,0,H,22,20,12,6,8,7,8,8,1,1,0,0
FC Koln,Mainz,0,0,D,0,0,D,7,13,3,5,10,10,1,7,2,4,0,0
M'gladbach,Werder Bremen,2,2,D,1,1,D,15,10,4,5,10,12,4,3,4,2,0,0
Augsburg,Dortmund,1,1,D,1,1,D,20,24,4,6,13,4,4,7,2,1,0,0
Bochum,Union Berlin,3,0,H,1,0,H,21,10,7,2,12,13,6,4,2,2,0,0
Darmstadt,Wolfsburg,0,1,A,0,0,D,14,11,4,3,16,10,7,7,2,0,0,1
Mainz,Heidenheim,0,1,A,0,1,A,16,5,4,2,9,20,8,1,3,3,0,0
RB Leipzig,Hoffenheim,3,1,H,1,1,D,23,10,11,4,11,9,9,2,3,2,0,0
Freiburg,FC Koln,2,0,H,0,0,D,23,7,7,1,13,10,5,2,1,4,0,1
Leverkusen,Ein Frankfurt,3,0,H,1,0,H,14,4,6,2,4,13,5,5,1,1,0,0
Bayern Munich,Stuttgart,3,0,H,1,0,H,17,5,8,2,7,8,6,2,0,3,0,0
Werder Bremen,RB Leipzig,1,1,D,0,0,D,11,18,3,9,15,9,1,4,4,2,0,0
Dortmund,Mainz,1,1,D,1,1,D,21,11,8,6,11,14,6,1,0,4,0,0
Hoffenheim,Darmstadt,3,3,D,2,1,H,13,14,4,3,9,15,8,3,2,4,0,0
Union Berlin,FC Koln,2,0,H,0,0,D,12,15,8,7,10,7,4,5,0,0,0,0
Ein Frankfurt,M'gladbach,2,1,H,0,1,A,15,7,7,2,11,14,8,2,1,6,0,1
Heidenheim,Freiburg,3,2,H,0,1,A,14,10,3,4,20,12,7,4,3,4,0,0
Leverkusen,Bochum,4,0,H,3,0,H,15,6,8,1,7,12,4,3,0,2,0,0
Stuttgart,Augsburg,3,0,H,2,0,H,17,6,7,5,8,14,4,4,0,4,0,0
Wolfsburg,Bayern Munich,1,2,A,1,2,A,5,20,4,7,14,12,0,6,4,2,0,0
Bayern Munich,Hoffenheim,3,0,H,1,0,H,27,12,12,4,8,6,11,2,1,3,0,1
Augsburg,Leverkusen,0,1,A,0,0,D,2,25,0,6,11,4,0,12,3,1,0,0
FC Koln,Heidenheim,1,1,D,1,0,H,13,10,6,2,12,11,9,6,2,1,0,0
Freiburg,Union Berlin,0,0,D,0,0,D,14,8,4,4,7,9,4,3,0,2,0,0
Mainz,Wolfsburg,1,1,D,0,1,A,12,9,4,4,21,16,7,3,3,4,0,0
RB Leipzig,Ein Frankfurt,0,1,A,0,1,A,26,5,7,1,7,16,15,4,0,2,0,0
Darmstadt,Dortmund,0,3,A,0,1,A,10,17,2,8,10,13,3,4,1,3,0,0
Bochum,Werder Bremen,1,1,D,0,0,D,13,15,4,4,14,14,3,4,6,5,0,0
M'gladbach,Stuttgart,3,1,H,2,0,H,8,14,4,2,7,11,0,3,3,3,0,0
Bochum,Stuttgart,1,0,H,0,0,D,6,17,1,4,16,16,1,7,5,3,0,0
Darmstadt,Ein Frankfurt,2,2,D,0,1,A,13,7,3,4,11,7,4,1,1,1,0,0
FC Koln,Dortmund,0,4,A,0,1,A,16,11,5,7,16,7,13,4,2,2,0,0
Freiburg,Hoffenheim,3,2,H,1,0,H,16,16,8,4,18,10,2,2,3,3,1,0
Heidenheim,Wolfsburg,1,1,D,1,1,D,12,12,3,3,11,10,4,2,0,1,0,0
RB Leipzig,Leverkusen,2,3,A,1,0,H,11,18,6,5,11,11,1,9,2,3,0,0
Bayern Munich,Werder Bremen,0,1,A,0,0,D,21,8,6,3,12,7,10,2,2,1,0,0
M'gladbach,Augsburg,1,2,A,1,0,H,18,15,4,7,10,20,5,7,1,2,0,0
Bayern Munich,Union Berlin,1,0,H,0,0,D,24,4,10,1,5,9,12,1,2,4,0,0
Ein Frankfurt,Mainz,1,0,H,0,0,D,13,7,4,0,10,12,2,1,2,1,0,0
Augsburg,Bayern Munich,2,3,A,0,2,A,14,13,7,4,12,11,4,5,2,6,0,0
Hoffenheim,Heidenheim,1,1,D,1,1,D,20,15,8,3,11,13,9,5,4,0,0,0
Stuttgart,RB Leipzig,5,2,H,2,1,H,19,4,11,2,9,11,9,3,1,4,0,0
Werder Bremen,Freiburg,3,1,H,1,1,D,14,7,4,4,14,10,5,5,2,1,0,0
Wolfsburg,FC Koln,1,1,D,1,1,D,12,6,5,2,17,12,6,3,5,3,0,0
Leverkusen,M'gladbach,0,0,D,0,0,D,28,4,8,3,15,6,8,2,3,1,0,0
Union Berlin,Darmstadt,1,0,H,0,0,D,19,15,6,1,13,9,4,3,3,2,0,0
Dortmund,Bochum,3,1,H,1,1,D,15,10,6,4,10,16,8,4,1,3,0,0
Heidenheim,Dortmund,0,0,D,0,0,D,11,13,0,5,7,7,4,6,0,2,0,0
Bayern Munich,M'gladbach,3,1,H,1,1,D,21,11,6,4,11,9,6,5,0,1,0,0
Bochum,Augsburg,1,1,D,1,0,H,9,12,4,6,17,14,3,5,3,1,0,0
Darmstadt,Leverkusen,0,2,A,0,1,A,8,18,6,7,14,8,4,3,2,2,0,0
Freiburg,Stuttgart,1,3,A,1,2,A,7,17,4,9,10,7,1,6,4,2,1,0
Mainz,Werder Bremen,0,1,A,0,1,A,20,6,5,1,22,16,11,1,4,3,0,0
FC Koln,Ein Frankfurt,2,0,H,0,0,D,14,11,4,4,8,13,7,7,1,4,0,2
Wolfsburg,Hoffenheim,2,2,D,0,1,A,14,17,8,7,12,16,7,2,2,3,0,0
RB Leipzig,Union Berlin,2,0,H,1,0,H,16,10,6,2,13,11,5,4,1,2,0,1
Mainz,Union Berlin,1,1,D,1,1,D,16,15,7,4,14,15,8,3,2,4,0,0
Dortmund,Freiburg,3,0,H,2,0,H,17,6,8,3,13,7,5,3,2,0,0,0
Augsburg,RB Leipzig,2,2,D,1,1,D,11,9,4,6,15,10,1,3,5,1,0,0
Ein Frankfurt,Bochum,1,1,D,1,1,D,8,14,2,5,6,12,8,3,2,2,0,0
M'gladbach,Darmstadt,0,0,D,0,0,D,22,10,8,1,11,15,7,2,0,5,0,0
Union Berlin,Wolfsburg,1,0,H,1,0,H,7,15,2,5,12,9,6,10,1,2,0,0
Werder Bremen,Heidenheim,1,2,A,1,2,A,14,10,3,3,10,13,5,10,1,2,0,0
Leverkusen,Bayern Munich,3,0,H,1,0,H,14,8,8,1,13,13,4,6,3,2,0,0
Stuttgart,Mainz,3,1,H,2,0,H,10,16,7,6,7,9,4,5,1,1,0,0
Hoffenheim,FC Koln,1,1,D,0,0,D,10,5,4,1,12,13,10,3,3,4,0,0
FC Koln,Werder Bremen,0,1,A,0,0,D,10,13,2,4,16,11,5,3,4,4,0,0
Darmstadt,Stuttgart,1,2,A,0,1,A,21,13,9,4,15,14,5,3,4,5,0,1
Heidenheim,Leverkusen,1,2,A,0,1,A,6,17,3,4,15,5,4,5,2,1,0,0
Hoffenheim,Union Berlin,0,1,A,0,0,D,16,10,4,3,10,7,6,2,3,4,1,1
Mainz,Augsburg,1,0,H,1,0,H,19,10,4,4,8,16,7,7,3,2,0,1
Wolfsburg,Dortmund,1,1,D,0,1,A,9,12,4,5,18,5,5,3,3,1,0,0
RB Leipzig,M'gladbach,2,0,H,1,0,H,16,13,9,0,12,13,8,4,1,5,0,0
Freiburg,Ein Frankfurt,3,3,D,2,2,D,13,10,8,6,8,10,6,1,0,0,0,0
Bochum,Bayern Munich,3,2,H,2,1,H,14,26,5,10,12,10,4,9,2,4,0,1
Leverkusen,Mainz,2,1,H,1,1,D,18,13,7,4,14,16,11,2,3,5,0,1
M'gladbach,Bochum,5,2,H,2,0,H,22,15,6,5,13,13,5,6,2,4,0,0
Stuttgart,FC Koln,1,1,D,0,0,D,13,12,5,6,11,13,9,4,1,0,0,0
Union Berlin,Heidenheim,2,2,D,2,1,H,12,9,3,4,9,12,4,2,2,1,0,0
Werder Bremen,Darmstadt,1,1,D,1,1,D,13,11,4,3,10,13,4,6,3,4,0,0
Bayern Munich,RB Leipzig,2,1,H,0,0,D,16,11,4,5,11,10,6,4,3,3,0,0
Ein Frankfurt,Wolfsburg,2,2,D,1,2,A,12,14,5,8,9,7,5,3,2,1,0,0
Dortmund,Hoffenheim,2,3,A,2,1,H,19,7,7,5,7,10,10,3,2,3,0,0
Augsburg,Freiburg,2,1,H,0,1,A,21,5,8,1,16,11,10,2,3,1,0,0
Freiburg,Bayern Munich,2,2,D,1,1,D,17,21,5,9,11,7,3,6,1,2,0,0
Bochum,RB Leipzig,1,4,A,1,1,D,15,10,4,4,13,10,2,5,3,2,1,0
Darmstadt,Augsburg,0,6,A,0,5,A,10,21,5,6,4,12,3,6,2,0,0,0
Heidenheim,Ein Frankfurt,1,2,A,0,1,A,16,11,3,6,6,10,7,3,1,4,0,0
Mainz,M'gladbach,1,1,D,1,0,H,21,14,5,5,12,15,12,6,5,1,1,0
Union Berlin,Dortmund,0,2,A,0,1,A,13,12,5,7,11,8,8,7,2,1,0,0
Wolfsburg,Stuttgart,2,3,A,0,1,A,12,7,2,3,20,12,5,4,3,2,0,0
FC Koln,Leverkusen,0,2,A,0,1,A,6,17,0,6,10,9,1,9,2,2,1,0
