HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Cercle Brugge,RWD Molenbeek,4,0,H,2.0,0.0,H,20.0,4.0,8.0,1.0,6.0,11.0,11.0,4.0,1.0,4.0,0.0,1.0
Gent,Charleroi,5,0,H,2.0,0.0,H,13.0,12.0,9.0,5.0,8.0,10.0,1.0,6.0,0.0,2.0,0.0,0.0
Oud-Heverlee Leuven,Mechelen,1,0,H,0.0,0.0,D,14.0,16.0,4.0,5.0,14.0,9.0,3.0,6.0,4.0,1.0,0.0,0.0
Westerlo,Genk,1,1,D,0.0,0.0,D,12.0,9.0,4.0,2.0,10.0,13.0,5.0,6.0,4.0,1.0,0.0,1.0
Gent,Standard,5,1,H,1.0,1.0,D,15.0,11.0,8.0,4.0,12.0,5.0,4.0,2.0,2.0,1.0,0.0,0.0
Oud-Heverlee Leuven,Mechelen,2,3,A,0.0,1.0,A,18.0,11.0,5.0,8.0,8.0,16.0,7.0,7.0,1.0,5.0,0.0,1.0
Anderlecht,Antwerp,1,0,H,0.0,0.0,D,20.0,8.0,8.0,2.0,8.0,7.0,4.0,3.0,2.0,4.0,0.0,1.0
St Truiden,Westerlo,2,0,H,1.0,0.0,H,14.0,13.0,6.0,5.0,11.0,10.0,7.0,3.0,0.0,1.0,0.0,0.0
Cercle Brugge,Club Brugge,1,1,D,1.0,0.0,H,10.0,28.0,4.0,7.0,11.0,7.0,0.0,8.0,0.0,1.0,0.0,0.0
Genk,St. Gilloise,1,0,H,1.0,0.0,H,7.0,12.0,3.0,4.0,11.0,18.0,2.0,9.0,1.0,1.0,0.0,1.0
Mechelen,St Truiden,2,3,A,1.0,0.0,H,17.0,16.0,6.0,7.0,9.0,13.0,5.0,4.0,2.0,2.0,0.0,0.0
Charleroi,RWD Molenbeek,0,0,D,0.0,0.0,D,14.0,10.0,3.0,3.0,14.0,12.0,11.0,6.0,1.0,4.0,0.0,0.0
Standard,Oud-Heverlee Leuven,0,0,D,0.0,0.0,D,13.0,8.0,6.0,2.0,12.0,13.0,6.0,2.0,2.0,2.0,0.0,0.0
Antwerp,Genk,0,1,A,0.0,1.0,A,11.0,18.0,2.0,6.0,14.0,12.0,6.0,5.0,3.0,1.0,0.0,0.0
St. Gilloise,Cercle Brugge,2,3,A,1.0,2.0,A,14.0,8.0,9.0,4.0,10.0,20.0,4.0,3.0,2.0,5.0,0.0,0.0
Eupen,Kortrijk,1,1,D,0.0,0.0,D,7.0,12.0,2.0,4.0,9.0,10.0,2.0,4.0,1.0,2.0,0.0,0.0
Club Brugge,Anderlecht,3,1,H,1.0,0.0,H,20.0,13.0,8.0,7.0,8.0,12.0,3.0,2.0,1.0,5.0,0.0,0.0
Westerlo,Gent,0,3,A,0.0,2.0,A,3.0,21.0,3.0,7.0,16.0,13.0,1.0,8.0,5.0,2.0,2.0,0.0
St Truiden,Standard,3,3,D,1.0,1.0,D,16.0,17.0,8.0,10.0,10.0,11.0,4.0,3.0,4.0,4.0,0.0,0.0
RWD Molenbeek,Eupen,3,1,H,1.0,1.0,D,11.0,8.0,5.0,3.0,16.0,13.0,7.0,4.0,1.0,3.0,0.0,0.0
Mechelen,Westerlo,3,2,H,0.0,2.0,A,23.0,14.0,6.0,7.0,13.0,7.0,13.0,6.0,1.0,4.0,0.0,1.0
Genk,Cercle Brugge,1,1,D,1.0,0.0,H,13.0,10.0,5.0,2.0,7.0,16.0,6.0,5.0,0.0,4.0,0.0,1.0
Club Brugge,Antwerp,3,0,H,1.0,0.0,H,13.0,8.0,6.0,3.0,10.0,14.0,5.0,3.0,2.0,2.0,0.0,0.0
Kortrijk,Charleroi,1,2,A,1.0,0.0,H,9.0,12.0,2.0,5.0,11.0,12.0,4.0,3.0,0.0,1.0,0.0,0.0
Anderlecht,St. Gilloise,2,1,H,1.0,0.0,H,7.0,15.0,5.0,5.0,10.0,16.0,6.0,6.0,4.0,3.0,1.0,0.0
Oud-Heverlee Leuven,Gent,2,1,H,2.0,1.0,H,12.0,16.0,3.0,6.0,8.0,6.0,0.0,6.0,2.0,2.0,0.0,0.0
Oud-Heverlee Leuven,St Truiden,1,0,H,0.0,0.0,D,20.0,3.0,11.0,0.0,11.0,11.0,6.0,3.0,1.0,2.0,0.0,0.0
Westerlo,Standard,3,3,D,1.0,1.0,D,19.0,17.0,6.0,8.0,8.0,12.0,6.0,7.0,1.0,1.0,0.0,0.0
Gent,Mechelen,3,1,H,1.0,0.0,H,15.0,7.0,5.0,3.0,8.0,4.0,6.0,5.0,1.0,1.0,0.0,0.0
Genk,Anderlecht,2,1,H,1.0,0.0,H,22.0,9.0,10.0,2.0,10.0,10.0,4.0,3.0,1.0,1.0,0.0,0.0
Cercle Brugge,Antwerp,0,1,A,0.0,0.0,D,16.0,12.0,4.0,8.0,12.0,5.0,7.0,2.0,4.0,1.0,0.0,0.0
Kortrijk,RWD Molenbeek,2,4,A,1.0,3.0,A,16.0,14.0,8.0,8.0,11.0,10.0,11.0,4.0,2.0,4.0,0.0,0.0
St. Gilloise,Club Brugge,1,2,A,0.0,0.0,D,18.0,9.0,6.0,2.0,14.0,11.0,10.0,8.0,3.0,3.0,0.0,1.0
Charleroi,Eupen,1,0,H,1.0,0.0,H,19.0,9.0,7.0,3.0,12.0,8.0,7.0,4.0,1.0,1.0,0.0,0.0
