HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Montpellier,Lorient,1,1,D,0,0,D,15,11,4,3,20,15,11,5,2,3,0,0
Rennes,Troyes,4,0,H,1,0,H,26,4,9,0,4,9,9,1,0,1,0,0
Toulouse,Nantes,0,0,D,0,0,D,14,8,6,1,6,13,10,5,1,1,0,0
Monaco,Lille,0,0,D,0,0,D,8,10,1,4,19,13,3,4,0,2,0,0
Marseille,Angers,3,1,H,1,1,D,14,4,6,1,17,9,7,0,1,2,0,0
Lyon,Monaco,3,1,H,1,1,D,22,16,11,9,8,14,2,8,0,3,0,0
Nantes,Montpellier,0,3,A,0,1,A,13,13,3,6,14,8,10,6,4,0,0,0
Lille,Marseille,2,1,H,0,1,A,12,8,3,3,14,20,3,4,3,2,0,0
Ajaccio,Rennes,0,5,A,0,4,A,2,13,0,7,8,14,2,5,1,2,1,0
Brest,Clermont,2,1,H,1,1,D,10,8,3,2,16,11,7,1,3,4,0,0
Nice,Toulouse,0,0,D,0,0,D,21,7,7,4,6,15,6,3,2,2,0,0
Reims,Angers,2,2,D,1,0,H,11,7,5,3,14,11,7,3,0,2,0,0
Troyes,Strasbourg,1,1,D,0,1,A,8,16,3,5,9,17,4,6,1,1,1,1
Lorient,Lens,1,3,A,1,2,A,13,15,5,7,14,13,3,5,2,2,0,0
Auxerre,Paris SG,1,2,A,0,2,A,14,15,7,4,11,6,4,6,1,0,0,0
Angers,Troyes,2,1,H,1,1,D,18,5,5,3,12,7,14,3,1,1,0,0
Clermont,Lorient,2,0,H,1,0,H,18,6,7,1,13,12,9,1,0,0,0,0
Lens,Ajaccio,3,0,H,3,0,H,12,6,3,0,12,12,9,2,1,2,0,0
Lille,Nantes,2,1,H,0,1,A,9,8,2,3,7,12,5,3,2,4,0,0
Lyon,Reims,3,0,H,2,0,H,23,10,7,1,11,15,7,4,1,1,0,1
Marseille,Brest,1,2,A,0,0,D,10,15,4,5,14,16,3,5,2,2,0,0
Montpellier,Nice,2,3,A,2,0,H,14,23,8,15,12,16,2,10,0,3,0,0
Rennes,Monaco,2,0,H,0,0,D,12,11,6,3,11,7,7,3,0,3,0,0
Strasbourg,Paris SG,1,1,D,0,0,D,17,7,5,2,9,8,4,2,1,2,0,0
Toulouse,Auxerre,1,1,D,1,1,D,10,16,3,2,18,14,6,3,1,3,0,0
Ajaccio,Marseille,1,0,H,0,0,D,3,17,1,5,19,15,2,3,1,1,0,0
Auxerre,Lens,1,3,A,0,1,A,17,15,5,7,10,16,5,5,1,3,0,0
Brest,Rennes,1,2,A,1,2,A,14,12,5,3,10,14,3,3,2,4,0,0
Lorient,Strasbourg,2,1,H,2,0,H,5,15,3,7,9,15,4,4,1,1,0,0
Monaco,Toulouse,1,2,A,0,0,D,19,22,7,8,10,11,4,7,1,2,0,0
