HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Farense,Vizela,0,0,D,0,0,D,20,17,6,6,21,11,14,6,1,1,0,0
Sp Braga,Rio Ave,2,1,H,0,1,A,33,9,11,3,8,11,16,1,1,2,0,0
Estoril,Benfica,0,1,A,0,0,D,16,21,4,5,15,8,4,7,3,2,0,0
Casa Pia,Estrela,0,1,A,0,0,D,7,11,2,6,16,8,3,6,1,1,0,0
Famalicao,Guimaraes,1,3,A,0,2,A,13,12,6,4,15,20,11,3,4,3,0,0
Porto,Portimonense,1,0,H,1,0,H,18,4,7,2,12,19,10,5,4,6,1,0
Sp Lisbon,Arouca,2,1,H,1,0,H,10,11,5,5,7,18,5,2,4,7,1,1
Arouca,Moreirense,0,1,A,0,1,A,13,12,3,5,11,14,7,5,2,2,0,1
Portimonense,Estoril,1,0,H,1,0,H,14,14,8,4,14,8,6,4,6,1,0,0
Benfica,Casa Pia,1,1,D,1,0,H,13,6,7,3,12,20,10,2,1,2,0,0
Guimaraes,Chaves,5,0,H,3,0,H,13,7,6,3,16,6,4,3,0,3,0,1
Gil Vicente,Sp Braga,3,3,D,1,0,H,13,18,6,7,14,21,4,9,4,2,0,1
Rio Ave,Farense,3,4,A,2,2,D,11,13,4,7,19,12,5,6,3,3,0,0
Estrela,Famalicao,1,0,H,0,0,D,12,9,4,1,18,15,3,2,3,3,0,1
Vizela,Porto,0,2,A,0,2,A,8,13,1,3,16,17,4,4,3,4,0,0
Boavista,Sp Lisbon,0,2,A,0,1,A,7,14,2,6,16,13,4,8,3,2,0,0
Porto,Estoril,0,1,A,0,0,D,16,7,4,3,16,16,9,6,5,7,0,0
Chaves,Benfica,0,2,A,0,0,D,8,14,0,5,13,11,3,8,5,2,0,0
Famalicao,Gil Vicente,3,1,H,2,0,H,12,9,5,4,11,10,7,2,3,3,0,0
Sp Braga,Portimonense,6,1,H,0,1,A,19,8,10,3,10,10,5,5,1,2,0,0
Casa Pia,Vizela,0,1,A,0,0,D,11,14,2,4,16,17,6,6,3,3,0,0
Moreirense,Guimaraes,1,0,H,0,0,D,12,10,3,2,10,11,4,12,1,2,0,0
Rio Ave,Boavista,2,0,H,1,0,H,9,10,3,2,17,15,3,3,3,2,0,0
Sp Lisbon,Estrela,3,2,H,1,0,H,23,6,8,4,7,5,6,1,1,1,0,0
Farense,Arouca,2,0,H,2,0,H,7,15,2,5,16,14,6,6,1,1,0,0
Estoril,Casa Pia,4,0,H,2,0,H,18,12,6,3,15,16,4,7,3,4,0,0
Portimonense,Chaves,2,1,H,2,0,H,12,19,7,8,15,12,3,8,4,2,0,0
Estrela,Moreirense,0,1,A,0,0,D,8,12,3,2,22,17,2,5,3,6,0,1
Vizela,Famalicao,0,0,D,0,0,D,9,13,4,2,17,17,5,7,1,3,0,0
Guimaraes,Porto,1,2,A,1,1,D,14,7,8,4,19,17,10,6,3,3,0,0
Boavista,Farense,1,3,A,0,1,A,15,13,2,7,19,9,9,2,3,1,0,0
Gil Vicente,Rio Ave,1,1,D,0,0,D,8,16,2,5,10,18,4,7,1,1,0,0
Arouca,Sp Braga,0,1,A,0,1,A,12,17,7,5,14,14,3,8,2,4,0,0
Benfica,Sp Lisbon,2,1,H,0,1,A,11,8,4,3,10,12,6,4,2,5,0,1
Chaves,Vizela,2,1,H,1,1,D,15,8,5,2,14,16,2,1,5,3,0,0
Farense,Guimaraes,1,2,A,0,1,A,5,16,2,5,12,14,1,7,3,3,1,0
Rio Ave,Estrela,1,1,D,0,0,D,13,8,3,0,15,13,7,0,4,1,0,0
Famalicao,Porto,0,3,A,0,2,A,12,9,0,5,16,22,7,2,4,5,1,0
Casa Pia,Portimonense,1,0,H,0,0,D,11,10,3,2,20,15,5,5,3,3,0,1
Sp Braga,Estoril,3,1,H,1,1,D,18,4,6,1,13,14,5,2,2,2,0,0
Moreirense,Benfica,0,0,D,0,0,D,11,12,4,3,13,13,2,7,4,1,0,0
Boavista,Arouca,0,4,A,0,3,A,8,12,2,7,12,10,8,1,5,4,1,1
Sp Lisbon,Gil Vicente,3,1,H,1,1,D,12,5,4,1,14,9,9,0,4,1,0,0
Vizela,Sp Braga,1,3,A,0,1,A,11,13,5,4,19,9,7,6,3,1,0,0
Benfica,Farense,1,1,D,0,0,D,37,8,13,5,10,11,15,3,2,3,0,0
Portimonense,Famalicao,1,1,D,0,1,A,8,16,4,8,14,19,2,5,4,1,1,0
Guimaraes,Sp Lisbon,3,2,H,1,1,D,7,11,5,4,14,5,1,6,4,1,0,0
Porto,Casa Pia,3,1,H,1,0,H,16,7,6,3,11,9,4,1,3,1,0,0
Estrela,Boavista,3,1,H,0,0,D,4,9,2,6,18,11,2,4,4,2,0,0
Arouca,Rio Ave,2,2,D,0,2,A,16,12,5,9,11,14,5,3,1,5,0,0
Estoril,Chaves,4,0,H,1,0,H,14,7,10,2,16,11,3,6,4,3,0,0
Gil Vicente,Moreirense,1,1,D,1,0,H,11,11,4,4,15,19,3,6,5,3,0,0
Farense,Estrela,0,0,D,0,0,D,12,9,1,2,11,8,6,9,2,1,0,0
Rio Ave,Vizela,1,1,D,0,0,D,13,6,4,4,16,15,7,2,3,3,0,1
